Provinsi,Negara/Wilayah,Terakhir Update,Dikonfirmasi,Kematian,Yang sudah Pulih
Saint Petersburg,Russia,28/02/2021 05.22,366238,11039,297709
Saint Pierre and Miquelon,France,28/02/2021 05.22,24,0,16
Saitama,Japan,28/02/2021 05.22,29292,559,27066
Sakha (Yakutiya) Republic,Russia,28/02/2021 05.22,32508,514,31036
Sakhalin Oblast,Russia,28/02/2021 05.22,21471,33,20246
Samara Oblast,Russia,28/02/2021 05.22,48248,908,44472
San Andres y Providencia,Colombia,28/02/2021 05.22,2704,45,2646
San Luis Potosi,Mexico,28/02/2021 05.22,57232,4549,0
San Martin,Peru,28/02/2021 05.22,29634,882,0
Santa Catarina,Brazil,28/02/2021 05.22,668811,7314,626305
Santander,Colombia,28/02/2021 05.22,90875,3306,85442
Sao Paulo,Brazil,28/02/2021 05.22,2037267,59428,1805549
Saratov Oblast,Russia,28/02/2021 05.22,49312,640,44496
Sardegna,Italy,28/02/2021 05.22,41114,1153,27126
Saskatchewan,Canada,28/02/2021 05.22,28506,385,26573
Schleswig-Holstein,Germany,28/02/2021 05.22,42445,1282,37932
Scotland,UK,28/02/2021 05.22,201512,7129,0
Sergipe,Brazil,28/02/2021 05.22,150533,2955,141391
Sevastopol*,Ukraine,28/02/2021 05.22,11891,490,10819
Shaanxi,Mainland China,28/02/2021 05.22,551,3,540
Shandong,Mainland China,28/02/2021 05.22,869,7,860
Shanghai,Mainland China,28/02/2021 05.22,1794,7,1738
Shanxi,Mainland China,28/02/2021 05.22,240,0,238
Shiga,Japan,28/02/2021 05.22,2462,46,2265
Shimane,Japan,28/02/2021 05.22,290,0,278
Shizuoka,Japan,28/02/2021 05.22,5126,92,4781
Sichuan,Mainland China,28/02/2021 05.22,891,3,872
Sicilia,Italy,28/02/2021 05.22,152105,4117,122217
Sikkim,India,28/02/2021 05.22,6137,135,5958
Sinaloa,Mexico,28/02/2021 05.22,33920,5206,0
Sindh,Pakistan,28/02/2021 05.22,258004,4343,241480
Sint Maarten,Netherlands,28/02/2021 05.22,2055,27,1998
Skane,Sweden,28/02/2021 05.22,110096,1547,0
Smolensk Oblast,Russia,28/02/2021 05.22,26131,612,24231
Sonora,Mexico,28/02/2021 05.22,67593,5987,0
Sormland,Sweden,28/02/2021 05.22,13207,401,0
South Australia,Australia,28/02/2021 05.22,613,4,606
South Carolina,US,28/02/2021 05.22,515072,8498,0
South Dakota,US,28/02/2021 05.22,112293,1886,0
St Martin,France,28/02/2021 05.22,1544,12,1399
Stavropol Krai,Russia,28/02/2021 05.22,47228,1073,43089
Stockholm,Sweden,28/02/2021 05.22,155151,3866,0
Sucre,Colombia,28/02/2021 05.22,20492,774,19272
Sumy Oblast,Ukraine,28/02/2021 05.22,48441,670,45960
Sverdlovsk Oblast,Russia,28/02/2021 05.22,77513,2367,70469
Tabasco,Mexico,28/02/2021 05.22,57324,3714,0
Tacna,Peru,28/02/2021 05.22,19972,560,0
Tamaulipas,Mexico,28/02/2021 05.22,51622,4375,0
Tambov Oblast,Russia,28/02/2021 05.22,26154,341,23986
Tamil Nadu,India,28/02/2021 05.22,851063,12493,834534
Tarapaca,Chile,28/02/2021 05.22,24658,422,23468
Tasmania,Australia,28/02/2021 05.22,234,13,221
Tatarstan Republic,Russia,28/02/2021 05.22,17923,331,14546
Telangana,India,28/02/2021 05.22,298807,1634,295222
Tennessee,US,28/02/2021 05.22,773887,11393,0
Ternopil Oblast,Ukraine,28/02/2021 05.22,41881,595,38448
Texas,US,28/02/2021 05.22,2649363,43519,0
Thuringen,Germany,28/02/2021 05.22,76291,2859,68343
Tianjin,Mainland China,28/02/2021 05.22,356,3,337
Tibet,Mainland China,28/02/2021 05.22,1,0,1
Tlaxcala,Mexico,28/02/2021 05.22,17156,2135,0
Tocantins,Brazil,28/02/2021 05.22,113594,1517,101353
Tochigi,Japan,28/02/2021 05.22,4098,67,3870
Tokushima,Japan,28/02/2021 05.22,449,16,402
Tokyo,Japan,28/02/2021 05.22,110577,1367,106311
Tolima,Colombia,28/02/2021 05.22,65123,2095,62071
Tomsk Oblast,Russia,28/02/2021 05.22,30218,313,28106
Toscana,Italy,28/02/2021 05.22,155167,4655,133083
Tottori,Japan,28/02/2021 05.22,211,2,202
Toyama,Japan,28/02/2021 05.22,908,28,859
Tripura,India,28/02/2021 05.22,33417,391,32985
Tula Oblast,Russia,28/02/2021 05.22,32920,1251,30491
Tumbes,Peru,28/02/2021 05.22,11520,441,0
Turks and Caicos Islands,UK,28/02/2021 05.22,2099,14,1870
Tver Oblast,Russia,28/02/2021 05.22,33584,627,30831
Tyumen Oblast,Russia,28/02/2021 05.22,31223,287,29357
Tyva Republic,Russia,28/02/2021 05.22,15643,193,14553
Ucayali,Peru,28/02/2021 05.22,22636,517,0
Udmurt Republic,Russia,28/02/2021 05.22,28130,625,24830
Ulyanovsk Oblast,Russia,28/02/2021 05.22,47590,792,44084
Umbria,Italy,28/02/2021 05.22,44471,1037,35219
Unknown,Belgium,28/02/2021 05.22,14081,22052,0
Unknown,Chile,28/02/2021 05.22,65,1,65
Unknown,Colombia,28/02/2021 05.22,0,0,0
Unknown,Germany,28/02/2021 05.22,1595,0,0
Unknown,India,28/02/2021 05.22,0,0,0
Unknown,Japan,28/02/2021 05.22,8,0,8
Unknown,Mainland China,28/02/2021 05.22,0,0,2
Unknown,Mexico,28/02/2021 05.22,0,0,1630002
Unknown,Netherlands,28/02/2021 05.22,1771,11,0
Unknown,Peru,28/02/2021 05.22,7500,205,1225995
Unknown,Spain,28/02/2021 05.22,0,0,0
Unknown,UK,28/02/2021 05.22,0,0,0
Uppsala,Sweden,28/02/2021 05.22,24154,479,0
Utah,US,28/02/2021 05.22,370770,1929,0
Utrecht,Netherlands,28/02/2021 05.22,86200,1131,0
Uttar Pradesh,India,28/02/2021 05.22,603427,8725,592556
Uttarakhand,India,28/02/2021 05.22,97031,1692,94850
Valle d'Aosta,Italy,28/02/2021 05.22,8021,415,7462
Valle del Cauca,Colombia,28/02/2021 05.22,195284,6171,184690
Valparaiso,Chile,28/02/2021 05.22,49881,1591,46280
Varmland,Sweden,28/02/2021 05.22,9115,167,0
Vasterbotten,Sweden,28/02/2021 05.22,14376,136,0
Vasternorrland,Sweden,28/02/2021 05.22,14841,404,0
Vastmanland,Sweden,28/02/2021 05.22,18167,326,0
Vastra Gotaland,Sweden,28/02/2021 05.22,116177,2086,0
Vaupes,Colombia,28/02/2021 05.22,1152,13,1135
Veneto,Italy,28/02/2021 05.22,332736,9837,298867
Veracruz,Mexico,28/02/2021 05.22,55081,8156,0
Vermont,US,28/02/2021 05.22,15098,204,0
Vichada,Colombia,28/02/2021 05.22,1364,22,1331
Victoria,Australia,28/02/2021 05.22,20481,820,19646
Vinnytsia Oblast,Ukraine,28/02/2021 05.22,36054,652,27382
Virgin Islands,US,28/02/2021 05.22,2646,25,0
Virginia,US,28/02/2021 05.22,574314,8382,0
Vladimir Oblast,Russia,28/02/2021 05.22,27295,866,24292
Volgograd Oblast,Russia,28/02/2021 05.22,49191,767,47043
Vologda Oblast,Russia,28/02/2021 05.22,39097,799,35653
Volyn Oblast,Ukraine,28/02/2021 05.22,39901,640,36727
Voronezh Oblast,Russia,28/02/2021 05.22,67572,1903,61427
Wakayama,Japan,28/02/2021 05.22,1162,18,1109
Wales,UK,28/02/2021 05.22,203378,5316,0
Wallis and Futuna,France,28/02/2021 05.22,9,0,7
Walloon Brabant,Belgium,28/02/2021 05.22,29898,0,0
Washington,US,28/02/2021 05.22,339773,4956,0
West Bengal,India,28/02/2021 05.22,574926,10266,561327
West Flanders,Belgium,28/02/2021 05.22,68903,0,0
West Virginia,US,28/02/2021 05.22,131580,2297,0
Western Australia,Australia,28/02/2021 05.22,913,9,901
Wisconsin,US,28/02/2021 05.22,616886,7014,0
Wyoming,US,28/02/2021 05.22,54350,671,0
Xinjiang,Mainland China,28/02/2021 05.22,980,3,977
Yamagata,Japan,28/02/2021 05.22,543,15,512
Yamaguchi,Japan,28/02/2021 05.22,1381,38,1280
Yamalo-Nenets Autonomous Okrug,Russia,28/02/2021 05.22,37071,398,35048
Yamanashi,Japan,28/02/2021 05.22,941,18,914
Yaroslavl Oblast,Russia,28/02/2021 05.22,32668,397,31016
Yucatan,Mexico,28/02/2021 05.22,32702,3098,0
Yukon,Canada,28/02/2021 05.22,72,1,71
Yunnan,Mainland China,28/02/2021 05.22,233,2,229
Zabaykalsky Krai,Russia,28/02/2021 05.22,38523,528,36849
Zacatecas,Mexico,28/02/2021 05.22,27416,2484,0
Zakarpattia Oblast,Ukraine,28/02/2021 05.22,39830,900,30516
Zaporizhia Oblast,Ukraine,28/02/2021 05.22,69504,1132,65049
Zeeland,Netherlands,28/02/2021 05.22,16480,178,0
Zhejiang,Mainland China,28/02/2021 05.22,1321,1,1314
Zhytomyr Oblast,Ukraine,28/02/2021 05.22,50582,834,44309
Zuid-Holland,Netherlands,28/02/2021 05.22,255335,3732,0
